Date,All projects,Wikipedia,Commons,Wikibooks,Other Wikis,Wiktionary,Wikiversity,Wikivoyage,Wikiquote,Wikisource,Wikinews
2010/10/01,,16000,838,117,143,137,77,93,69,132,27
2010/11/01,,15548,785,114,223,149,124,84,58,97,28
2010/12/01,,15878,774,96,228,130,47,90,62,91,29
2011/01/01,,18352,948,115,141,137,64,93,113,102,29
2011/02/01,,17149,874,154,137,151,105,86,64,94,27
2011/03/01,,18213,943,119,160,132,75,90,79,106,37
2011/04/01,,16737,928,79,125,113,76,75,63,156,30
2011/05/01,,16836,921,116,95,129,60,80,94,85,25
2011/06/01,,16465,949,87,130,133,59,73,155,85,12
2011/07/01,,16342,992,73,80,130,43,75,80,85,16
2011/08/01,,16565,1095,125,113,166,37,77,74,56,36
2011/09/01,,15058,2385,160,86,148,90,106,70,69,15
2011/10/01,,15709,1120,151,192,162,82,82,65,107,35
2011/11/01,,15858,1075,127,234,137,153,96,75,61,18
2011/12/01,,15606,1073,104,207,140,57,87,74,64,23
2012/01/01,,16825,1257,119,103,129,91,98,93,90,32
2012/02/01,,15798,1085,199,104,143,90,90,77,64,20
2012/03/01,,16181,1181,124,125,130,75,85,75,80,18
2012/04/01,,15620,1023,92,132,136,41,63,62,79,27
2012/05/01,,16087,1096,98,140,144,49,76,75,68,16
2012/06/01,,15225,1075,103,118,131,37,69,65,58,6
2012/07/01,,15441,1145,166,90,151,37,71,79,56,20
2012/08/01,,14851,1056,143,65,149,35,69,55,14,15
2012/09/01,,13657,4697,137,74,122,92,64,46,25,20
2012/10/01,,14603,1520,335,256,115,87,70,50,36,22
2012/11/01,,14528,1133,390,235,132,73,63,46,84,19
2012/12/01,,13441,1200,236,243,127,75,60,52,70,25
