Month,Commons
2010/10/01,13060
2010/11/01,842
2010/12/01,791
2011/01/01,15228
2011/02/01,14197
2011/03/01,14361
2011/04/01,14223
2011/05/01,14991
2011/06/01,15389
2011/07/01,15201
2011/08/01,15726
2011/09/01,21235
2011/10/01,15702
2011/11/01,16158
2011/12/01,15299
2012/01/01,16695
2012/02/01,16452
2012/03/01,17234
2012/04/01,17232
2012/05/01,17708
2012/06/01,16880
2012/07/01,17357
2012/08/01,16946
2012/09/01,33678
2012/10/01,19350
2012/11/01,18021
2012/12/01,18546
