date,World,China,Europe,India,Latin-America,Middle-East/Africa,North-America,Asia Pacific
2008/01/01,242554000,581000,91036000,5138000,18341000,11549000,61664000,59964000
2008/02/01,240754000,695000,87975000,5065000,20286000,11327000,61218000,59948000
2008/03/01,256061000,669000,92283000,5200000,24542000,13337000,63518000,62380000
2008/04/01,261414000,2288000,93642000,5079000,26347000,13634000,63827000,63963000
2008/05/01,263120000,994000,95234000,5264000,27002000,14139000,63186000,63560000
2008/06/01,251502000,958000,89427000,5979000,26099000,11941000,58272000,65764000
2008/07/01,244326000,232000,86905000,5720000,23220000,11016000,57347000,65838000
2008/08/01,248539000,1382000,83931000,6217000,26847000,11371000,59494000,66895000
2008/09/01,272109000,2735000,98304000,6025000,28886000,12553000,64075000,68291000
2008/10/01,277208000,2037000,102955000,5799000,27974000,13790000,66785000,65703000
2008/11/01,280969000,2185000,106199000,6286000,27416000,13850000,65133000,68371000
2008/12/01,272998000,2286000,105318000,6421000,22769000,15103000,63782000,66026000
2009/01/01,289811000,1825000,112449000,6764000,22558000,15630000,67971000,71203000
2009/02/01,300751000,2002000,117828000,6587000,27440000,18765000,65855000,70862000
2009/03/01,327148000,2752000,126474000,7014000,34229000,21558000,66878000,78009000
2009/04/01,320043000,3115000,119578000,6807000,33400000,20133000,70908000,76024000
2009/05/01,317255000,2936000,118874000,7168000,33870000,19529000,69387000,75595000
2009/06/01,302940000,4566000,112270000,7522000,33263000,16489000,64678000,76239000
2009/07/01,295484000,3839000,108552000,7908000,29298000,16502000,66142000,74990000
2009/08/01,307641000,3547000,111190000,8398000,33186000,17816000,68084000,77365000
2009/09/01,325998000,2882000,123062000,8480000,35264000,18063000,71661000,77948000
2009/10/01,344563000,3702000,128647000,9287000,36440000,22353000,73452000,83671000
2009/11/01,345805000,3718000,129798000,9437000,36495000,22083000,75050000,82379000
2009/12/01,347020000,3657000,129763000,9696000,31391000,24058000,77607000,84201000
2010/01/01,364719000,3351000,136935000,10216000,32834000,23411000,82489000,89049000
2010/02/01,345218000,2935000,133807000,9865000,36414000,21680000,80940000,72378000
2010/03/01,370744000,3443000,140834000,10516000,43574000,24962000,83696000,77678000
2010/04/01,374846000,4081000,144087000,10923000,44286000,25146000,83792000,77535000
2010/05/01,388932000,2700000,150313000,11675000,45790000,26399000,85929000,80502000
2010/06/01,379112000,2613000,151013000,12373000,43826000,23611000,80393000,80269000
2010/07/01,360225000,2536000,138975000,12828000,38111000,22991000,79888000,80260000
2010/08/01,373392000,2829000,140560000,13187000,42303000,26220000,81295000,83015000
2010/09/01,398178000,3181000,155438000,13433000,45265000,28749000,85606000,83119000
2010/10/01,408350000,3156000,159384000,13674000,45152000,33049000,87359000,83406000
2010/11/01,410816000,3108000,165020000,13614000,46617000,30711000,85732000,82736000
2010/12/01,395472000,3372000,157837000,14004000,38738000,30852000,87087000,80958000
2011/01/01,413957000,3048000,168571000,15067000,39446000,32113000,88233000,85593000
2011/02/01,379415000,2664000,150775000,12960000,41411000,29722000,80038000,77468000
2011/03/01,400011000,2854000,156913000,13011000,47583000,32599000,81918000,80997000
2011/04/01,380716000,2866000,149211000,12801000,45108000,30272000,78234000,77891000
2011/05/01,411061000,3492000,161311000,13701000,49095000,33908000,82081000,84666000
2011/06/01,399362000,3960000,153883000,14163000,47203000,30985000,80753000,86539000
2011/07/01,393543000,4814000,146724000,14979000,42700000,29882000,83859000,90378000
2011/08/01,422779000,5163000,152109000,15944000,52983000,31749000,88277000,97661000
2011/09/01,454529000,5709000,166505000,16180000,56613000,35877000,93193000,102341000
2011/10/01,476627000,7386000,176918000,16019000,57210000,40119000,96252000,106128000
2011/11/01,474723000,7355000,178580000,16425000,56544000,39614000,94689000,105296000
2011/12/01,457063000,8803000,173496000,16425000,45235000,40068000,94413000,103851000
2012/01/01,482157000,8766000,184668000,17205000,47386000,42097000,99821000,108186000
2012/02/01,475699000,7886000,179385000,18771000,51425000,41056000,98049000,105783000
2012/03/01,489402000,9249000,180827000,19402000,58584000,42081000,97001000,110909000
2012/04/01,473380000,6666000,176376000,18688000,55227000,40589000,96664000,104524000
2012/05/01,492393000,5917000,185344000,20016000,58825000,42759000,97378000,108087000
2012/06/01,469644000,5890000,174151000,21031000,54654000,39560000,93676000,107603000
2012/07/01,451821000,5761000,163811000,21905000,49387000,35788000,94146000,108690000
2012/08/01,456255000,5602000,163167000,22027000,52510000,36327000,95824000,108428000
2012/09/01,474864000,4922000,175027000,21853000,54499000,38445000,98992000,107902000
2012/10/01,488364000,4965000,183372000,22749000,55850000,40977000,100152000,108013000
2012/11/01,484489000,4866000,184660000,22191000,54874000,41530000,97462000,105964000
2012/12/01,472552000,4457000,183718000,23339000,45777000,40802000,96966000,105288000
